"trip_id","stop_sequence","stop_id","arrival_time","departure_time"
60,2,45,"20:51:50","12:29:11"
60,3,29,"14:58:0","18:47:0"
60,4,91,"13:23:23","6:55:12"
60,5,10,"12:38:9","23:19:37"
61,1,54,"15:16:57","14:48:0"
61,2,93,"5:51:22","17:3:54"
61,3,34,"15:31:42","11:7:23"
61,4,42,"15:25:51","9:43:25"
61,5,20,"5:35:10","8:18:5"
62,1,50,"17:25:47","8:2:50"
62,2,48,"20:20:39","16:14:40"
62,3,44,"9:24:24","7:24:19"
62,4,2,"5:33:57","21:55:44"
62,5,39,"9:36:13","8:5:25"
63,1,38,"23:42:59","6:30:41"
63,2,6,"13:35:8","18:35:42"
63,3,75,"16:40:16","10:55:48"
63,4,21,"15:18:33","22:59:30"
63,5,73,"13:22:36","6:29:54"
64,1,61,"7:47:12","12:2:8"
64,2,32,"21:1:5","20:15:10"
64,3,77,"13:30:48","21:42:21"
64,4,40,"19:8:6","12:30:24"
64,5,78,"12:19:47","16:38:47"
65,1,41,"23:11:3","11:7:26"
65,2,20,"16:11:48","18:5:27"
65,3,10,"6:4:44","20:44:57"
65,4,65,"15:55:26","14:55:35"
65,5,50,"14:44:8","17:21:49"
66,1,83,"20:5:15","6:22:38"
66,2,46,"10:29:48","13:35:7"
66,3,77,"11:55:47","20:30:3"
66,4,98,"10:50:13","23:7:7"
66,5,98,"17:21:53","15:38:53"
67,1,1,"10:51:31","14:17:28"
67,2,31,"15:48:55","14:47:48"
67,3,53,"17:56:43","20:18:8"
67,4,42,"20:48:3","18:43:31"
67,5,43,"8:35:21","11:27:27"
68,1,36,"15:22:5","11:11:36"
68,2,33,"14:12:33","15:53:11"
68,3,66,"22:30:22","9:15:6"
68,4,41,"15:2:10","11:14:1"
68,5,99,"16:47:46","17:11:15"
69,1,13,"14:56:49","15:7:26"
69,2,35,"8:38:42","21:35:36"
69,3,66,"14:19:40","23:45:55"
69,4,64,"23:47:21","23:19:9"
69,5,44,"14:43:19","6:46:38"
70,1,75,"22:47:43","8:34:31"
70,2,55,"22:44:59","17:21:19"
70,3,9,"18:52:50","10:38:42"
70,4,30,"18:52:45","14:49:51"
70,5,30,"21:5:50","14:56:6"
71,1,10,"11:23:5","11:19:13"
71,2,8,"22:46:0","10:48:58"
71,3,20,"5:58:25","12:31:4"
71,4,25,"20:13:28","21:40:7"
71,5,29,"5:50:8","20:27:16"
72,1,22,"17:1:54","17:47:21"
72,2,99,"9:6:32","19:15:32"
72,3,16,"7:41:40","5:29:44"
72,4,74,"6:45:23","13:50:12"
72,5,52,"18:23:13","10:16:37"
73,1,68,"9:11:51","18:8:23"
73,2,60,"19:31:38","13:20:38"
73,3,25,"9:37:53","6:31:10"
73,4,67,"10:52:49","13:12:48"
73,5,34,"23:19:45","8:7:31"
74,1,41,"22:40:29","5:6:44"
74,2,14,"19:32:58","9:10:54"
74,3,57,"21:28:6","7:55:54"
74,4,33,"10:34:41","10:5:28"
74,5,84,"11:14:14","18:40:36"
75,1,57,"23:7:45","20:15:35"
75,2,95,"19:35:8","16:42:19"
75,3,30,"15:24:20","17:31:52"
75,4,40,"15:37:27","21:14:50"
75,5,41,"22:7:12","22:54:44"
76,1,96,"6:27:46","9:7:6"
76,2,3,"12:31:35","6:37:40"
76,3,51,"14:49:18","7:43:23"
76,4,44,"13:29:34","12:1:55"
76,5,98,"12:54:0","14:53:47"
77,1,14,"23:13:46","12:24:5"
77,2,3,"11:12:53","21:30:49"
77,3,85,"7:31:12","18:39:1"
77,4,63,"20:35:32","14:40:18"
77,5,42,"14:31:6","16:54:45"
78,1,88,"9:50:56","17:26:9"
78,2,97,"15:13:26","23:39:6"
78,3,89,"8:14:49","12:12:30"
78,4,55,"7:51:49","20:58:15"
78,5,67,"21:39:25","23:39:3"
79,1,12,"14:10:58","9:23:41"
79,2,37,"18:50:27","10:13:15"
79,3,80,"19:49:45","19:29:50"
79,4,83,"9:42:50","16:57:16"
79,5,2,"23:57:7","18:18:51"
80,1,20,"12:43:9","20:58:16"
80,2,54,"15:39:3","19:25:13"
80,3,56,"22:7:9","11:19:40"
80,4,97,"23:40:14","11:13:18"
80,5,92,"17:36:46","10:31:22"
81,1,93,"15:38:56","23:18:24"
81,2,40,"7:22:33","17:59:31"
81,3,54,"10:33:7","22:56:48"
81,4,13,"9:54:0","5:45:40"
81,5,9,"22:20:26","19:10:26"
82,1,75,"23:28:4","17:4:39"
82,2,51,"9:4:4","23:23:36"
82,3,96,"7:37:15","8:44:16"
82,4,48,"9:15:58","13:36:6"
82,5,91,"7:38:7","15:14:39"
83,1,44,"23:29:6","5:21:59"
83,2,54,"8:46:34","22:55:38"
83,3,52,"5:52:56","20:18:27"
83,4,26,"22:32:43","8:0:56"
83,5,42,"6:44:48","18:28:7"
84,1,70,"16:14:46","15:22:2"
84,2,39,"15:41:20","9:40:34"
84,3,5,"8:31:0","15:21:3"
84,4,53,"15:53:53","13:45:13"
84,5,36,"14:9:41","12:42:41"
85,1,47,"5:21:56","17:40:55"
85,2,72,"20:29:24","17:56:13"
85,3,52,"13:32:2","17:27:36"
85,4,42,"22:27:37","10:5:4"
85,5,90,"21:35:21","20:40:55"
86,1,48,"17:17:51","15:44:4"
86,2,35,"11:33:50","13:8:6"
86,3,18,"7:1:28","18:51:19"
86,4,74,"11:4:45","14:44:40"
86,5,89,"14:2:34","20:11:29"
87,1,63,"16:45:5","5:24:46"
87,2,69,"22:58:36","9:39:32"
87,3,56,"22:36:56","23:53:43"
87,4,15,"14:20:6","12:58:0"
87,5,42,"9:33:8","9:3:26"
88,1,61,"8:13:8","23:21:39"
88,2,95,"6:48:5","18:57:16"
88,3,3,"23:49:54","23:32:15"
88,4,50,"17:49:4","9:35:23"
88,5,99,"5:14:41","12:59:0"
89,1,75,"5:50:37","7:51:7"
89,2,56,"20:43:51","9:17:46"
89,3,7,"22:5:27","6:32:13"
89,4,73,"21:55:35","10:39:5"
89,5,58,"18:12:28","22:44:43"
90,1,52,"11:3:59","23:26:41"
90,2,18,"13:45:51","17:26:32"
90,3,81,"19:14:9","21:36:45"
90,4,62,"9:16:50","9:22:42"
90,5,14,"19:15:49","15:19:51"
91,1,56,"23:24:15","17:50:10"
91,2,77,"17:3:43","21:16:17"
91,3,99,"8:24:15","13:34:32"
91,4,78,"9:34:17","21:34:19"
91,5,91,"6:29:0","17:47:53"
92,1,85,"14:39:5","23:18:55"
92,2,4,"8:5:50","14:55:16"
92,3,12,"11:51:52","10:25:49"
92,4,20,"15:37:17","19:51:17"
92,5,75,"8:27:18","20:54:0"
93,1,83,"9:42:26","17:32:20"
93,2,12,"6:7:23","19:48:34"
93,3,28,"16:30:51","22:35:58"
93,4,70,"9:58:47","18:29:39"
93,5,40,"21:27:26","21:37:19"
94,1,36,"18:44:48","17:45:4"
94,2,97,"22:23:19","13:46:42"
94,3,32,"14:39:21","22:55:43"
94,4,50,"19:20:9","20:57:22"
94,5,45,"15:34:40","22:25:31"
95,1,52,"20:47:54","10:21:9"
95,2,24,"11:50:18","9:6:18"
95,3,3,"16:54:2","20:26:28"
95,4,17,"8:40:28","15:48:14"
95,5,63,"14:33:52","17:50:49"
96,1,5,"9:15:53","12:14:32"
96,2,41,"19:11:56","7:17:22"
96,3,37,"7:33:5","17:33:19"
96,4,81,"11:0:44","18:31:27"
96,5,7,"22:20:1","10:18:32"
97,1,39,"10:9:29","19:48:37"
97,2,84,"12:28:30","12:40:30"
97,3,64,"9:19:20","9:37:53"
97,4,23,"12:2:29","17:1:39"
97,5,14,"20:11:13","5:9:1"
98,1,21,"19:45:15","15:29:45"
98,2,4,"14:13:11","23:59:22"
98,3,28,"22:32:17","10:28:49"
98,4,50,"12:30:4","14:32:59"
98,5,29,"17:59:27","17:28:16"
99,1,78,"14:47:5","6:43:50"
99,2,52,"15:57:7","13:19:10"
99,3,49,"23:42:14","10:12:38"
99,4,26,"17:43:16","10:52:52"
99,5,20,"10:35:20","18:0:51"
100,1,92,"20:50:15","11:58:37"
100,2,89,"9:2:7","8:31:24"
100,3,62,"21:15:28","20:23:10"
100,4,34,"7:49:45","14:1:41"
100,5,13,"7:34:6","14:3:49"
101,1,64,"5:53:39","7:46:36"
101,2,36,"9:0:58","6:19:0"
101,3,24,"11:14:31","16:41:48"
101,4,57,"9:57:12","10:8:26"
101,5,69,"18:4:53","17:12:53"
102,1,52,"9:3:0","13:19:59"
102,2,19,"18:51:31","20:43:36"
102,3,8,"17:19:39","20:53:38"
102,4,10,"5:38:6","22:3:14"
102,5,66,"14:31:25","13:20:3"
103,1,84,"8:9:4","9:48:5"
103,2,6,"18:38:0","20:28:57"
103,3,28,"18:53:52","11:1:1"
103,4,3,"21:37:42","18:4:37"
103,5,75,"11:25:58","13:4:40"
104,1,15,"5:14:48","17:22:51"
104,2,60,"22:55:23","11:14:22"
104,3,27,"23:47:5","10:19:40"
104,4,80,"13:12:52","20:42:23"
104,5,68,"21:40:19","8:0:42"
105,1,49,"7:24:32","17:11:36"
105,2,61,"22:4:59","6:24:54"
105,3,39,"22:55:25","12:22:49"
105,4,54,"16:41:29","13:31:21"
105,5,47,"9:35:24","8:8:18"
106,1,72,"9:21:43","18:56:33"
106,2,61,"20:56:59","19:3:43"
106,3,93,"8:32:27","13:25:17"
106,4,100,"17:32:26","11:40:43"
106,5,54,"9:59:41","14:56:47"
107,1,45,"19:34:50","15:20:17"
107,2,93,"22:9:43","6:34:9"
107,3,12,"8:21:31","17:48:54"
107,4,45,"22:2:9","21:54:4"
107,5,48,"20:27:16","21:41:39"
108,1,48,"12:52:54","16:28:33"
108,2,71,"18:17:11","16:10:38"
108,3,40,"8:16:25","13:31:1"
108,4,33,"18:42:54","15:8:49"
108,5,99,"19:26:44","7:36:48"
109,1,57,"16:3:22","5:6:9"
109,2,82,"7:11:22","13:1:48"
109,3,46,"17:51:51","13:23:55"
109,4,40,"21:35:30","16:49:6"
109,5,29,"17:41:5","23:24:55"
110,1,69,"10:47:39","5:47:40"
110,2,70,"8:34:36","17:18:28"
110,3,15,"21:40:50","22:36:46"
110,4,25,"5:18:13","17:7:43"
110,5,92,"10:36:17","16:14:46"
111,1,64,"7:15:29","6:24:8"
111,2,45,"22:50:39","16:40:4"
111,3,96,"9:36:47","18:8:44"
111,4,66,"17:17:31","12:45:6"
111,5,35,"7:59:27","9:45:48"
112,1,31,"18:36:4","10:4:37"
112,2,56,"8:15:48","20:37:1"
112,3,33,"11:44:4","15:49:58"
112,4,11,"17:48:33","14:32:6"
112,5,38,"12:8:15","14:25:12"
113,1,3,"14:38:12","13:58:26"
113,2,35,"15:47:44","20:35:13"
113,3,14,"6:36:8","6:13:11"
113,4,29,"13:48:14","13:25:40"
113,5,40,"13:20:40","16:3:23"
114,1,46,"22:32:38","10:7:2"
114,2,90,"18:23:55","13:40:38"
114,3,33,"10:40:5","11:34:57"
114,4,94,"17:46:5","20:24:11"
114,5,95,"13:53:10","22:48:21"
115,1,37,"14:3:54","8:14:53"
115,2,23,"9:56:24","23:57:36"
115,3,81,"15:9:9","10:5:12"
115,4,53,"8:48:16","9:27:44"
115,5,57,"23:11:22","16:15:47"
116,1,12,"8:37:29","7:52:50"
116,2,52,"10:39:7","20:29:45"
116,3,93,"7:54:11","7:2:40"
116,4,94,"10:30:32","6:30:1"
116,5,64,"8:7:51","23:41:42"
117,1,17,"23:58:6","13:44:48"
117,2,29,"11:1:44","12:44:50"
117,3,13,"21:34:0","7:49:45"
117,4,93,"7:59:0","21:58:28"
117,5,67,"13:47:39","10:37:13"
118,1,27,"22:28:59","22:58:16"
118,2,75,"22:14:57","6:58:33"
118,3,78,"8:21:13","16:2:38"
118,4,8,"10:44:26","15:50:59"
118,5,8,"11:31:29","13:41:37"
119,1,87,"13:47:30","18:55:43"
119,2,7,"17:22:24","15:25:40"
119,3,14,"14:24:25","6:37:46"
119,4,35,"10:41:57","10:22:25"
119,5,15,"10:31:10","18:9:16"
120,1,55,"9:32:42","17:18:31"
120,2,29,"15:34:53","14:35:53"
120,3,62,"19:40:51","9:28:2"
120,4,62,"16:12:38","17:32:10"
120,5,43,"17:22:32","6:40:45"
121,1,59,"10:41:45","18:8:11"
121,2,25,"6:58:21","14:38:21"
121,3,67,"16:35:19","15:32:44"
121,4,24,"13:27:14","7:25:32"
121,5,34,"13:5:57","16:23:18"
122,1,46,"13:31:24","13:13:43"
122,2,46,"12:53:5","6:31:14"
122,3,34,"21:15:1","19:15:54"
122,4,61,"16:34:57","19:3:5"
122,5,35,"16:37:4","23:51:41"
123,1,17,"23:39:26","10:30:38"
123,2,49,"10:58:7","16:16:41"
123,3,94,"9:22:55","9:34:28"
123,4,11,"17:25:19","18:9:23"
123,5,56,"7:55:11","18:56:36"
124,1,25,"8:4:2","18:43:50"
124,2,21,"17:11:44","17:57:57"
124,3,64,"20:33:14","9:45:7"
124,4,28,"8:27:32","14:48:35"
124,5,47,"7:56:46","11:45:47"
125,1,93,"5:23:38","21:51:12"
125,2,52,"7:20:55","18:59:37"
125,3,60,"19:44:32","23:5:23"
125,4,32,"22:42:1","15:21:24"
125,5,15,"22:35:23","12:2:12"
126,1,31,"12:30:31","9:37:40"
126,2,67,"14:37:6","12:21:59"
126,3,71,"16:27:42","14:31:49"
126,4,8,"9:49:31","6:23:21"
126,5,93,"16:11:29","9:15:22"
127,1,27,"9:35:11","15:52:40"
127,2,41,"19:7:51","14:4:18"
127,3,37,"19:16:3","10:47:1"
127,4,12,"8:55:52","16:22:29"
127,5,63,"10:51:59","9:41:45"
128,1,47,"13:42:46","21:56:51"
128,2,85,"20:57:15","15:25:34"
128,3,39,"8:43:19","23:5:18"
128,4,40,"21:27:9","10:46:13"
128,5,92,"19:35:48","19:10:44"
129,1,29,"15:20:57","14:41:33"
129,2,25,"7:50:23","11:26:59"
129,3,32,"17:24:35","21:52:6"
129,4,45,"17:32:57","12:50:43"
129,5,88,"19:23:54","17:46:21"
130,1,4,"6:35:4","13:54:51"
130,2,90,"17:39:39","17:30:20"
130,3,64,"16:32:43","16:3:44"
130,4,54,"19:3:57","7:53:11"
130,5,98,"21:6:58","10:2:5"
131,1,5,"16:8:13","20:36:38"
131,2,27,"21:3:7","16:17:44"
131,3,100,"20:3:22","18:6:3"
131,4,50,"21:42:24","22:18:46"
131,5,43,"9:52:7","10:24:32"
132,1,64,"14:59:55","10:45:20"
132,2,72,"19:0:3","14:43:29"
132,3,35,"8:50:27","19:13:35"
132,4,21,"20:33:29","14:34:5"
132,5,33,"7:50:14","17:53:29"
133,1,18,"5:27:8","13:8:4"
133,2,57,"21:59:52","12:19:38"
133,3,57,"18:23:3","19:7:10"
133,4,14,"16:58:45","13:53:19"
133,5,1,"17:30:59","10:39:20"
134,1,75,"6:19:43","20:27:52"
134,2,96,"5:12:23","5:28:10"
134,3,36,"14:30:33","6:35:2"
134,4,65,"12:30:37","10:47:9"
134,5,44,"18:44:34","17:30:7"
135,1,59,"7:53:3","12:10:25"
135,2,74,"19:22:22","10:5:18"
135,3,23,"14:59:43","20:57:48"
135,4,35,"17:57:36","23:50:23"
135,5,70,"19:43:15","13:2:59"
136,1,61,"16:33:50","11:59:0"
136,2,35,"8:8:36","12:30:34"
136,3,37,"16:39:43","22:13:43"
136,4,61,"6:4:21","19:35:49"
136,5,42,"20:15:28","15:41:35"
137,1,3,"13:17:19","21:8:4"
137,2,72,"15:20:24","14:23:1"
137,3,75,"21:17:59","7:30:21"
137,4,67,"21:21:28","11:3:29"
137,5,34,"18:4:1","8:16:22"
138,1,60,"15:54:54","11:31:18"
138,2,47,"13:0:22","12:58:14"
138,3,5,"12:39:0","12:44:56"
138,4,56,"5:52:25","23:57:14"
138,5,75,"18:40:33","12:31:26"
139,1,36,"20:46:42","10:21:54"
139,2,86,"13:17:55","7:50:16"
139,3,47,"7:5:49","13:46:19"
139,4,100,"8:33:59","11:50:10"
139,5,46,"19:15:42","7:39:58"
140,1,64,"14:21:42","20:5:23"
140,2,65,"23:22:12","19:35:46"
